plate;well;iso_id;mKate;eGFP;;plate;well;iso_id;mKate;eGFP
P5PL1;A02;p5_1;neutral;neutral;;P5PL1;E08;p5_47;neutral;up
P5PL1;A03;p5_2;neutral;neutral;;P5PL1;E09;p5_48;neutral;down
P5PL1;A04;p5_3;neutral;down;;P5PL1;E10;p5_49;neutral;down
P5PL1;A05;p5_4;down;down;;P5PL1;E11;p5_50;neutral;down
P5PL1;A06;p5_5;down;down;;P5PL1;F02;p5_51;neutral;down
P5PL1;A07;p5_6;neutral;neutral;;P5PL1;F03;p5_52;neutral;neutral
P5PL1;A08;p5_7;neutral;neutral;;P5PL1;F04;p5_53;neutral;down
P5PL1;A09;p5_8;neutral;neutral;;P5PL1;F05;p5_54;neutral;down
P5PL1;A10;p5_9;neutral;up;;P5PL1;F06;p5_55;neutral;neutral
P5PL1;A11;p5_10;down;down;;P5PL1;F07;p5_56;neutral;neutral
P5PL1;B02;p5_11;neutral;down;;P5PL1;F08;p5_57;neutral;neutral
P5PL1;B03;p5_12;neutral;neutral;;P5PL1;F09;p5_58;neutral;neutral
P5PL1;B04;p5_13;up;up;;P5PL1;F10;p5_59;neutral;neutral
P5PL1;B05;p5_14;neutral;down;;P5PL1;F11;p5_60;down;down
P5PL1;B06;p5_15;neutral;down;;P5PL1;G02;p5_61;neutral;neutral
P5PL1;B07;p5_16;neutral;neutral;;P5PL1;G03;p5_62;neutral;neutral
P5PL1;B08;p5_17;neutral;neutral;;P5PL1;G04;p5_63;neutral;neutral
P5PL1;B09;p5_18;neutral;neutral;;P5PL1;G05;p5_64;down;down
P5PL1;B10;p5_19;neutral;down;;P5PL1;G06;p5_65;neutral;neutral
P5PL1;B11;p5_20;down;neutral;;P5PL1;G07;p5_66;neutral;neutral
P5PL1;C02;p5_21;neutral;down;;P5PL1;G08;p5_67;neutral;neutral
P5PL1;C03;p5_22;neutral;neutral;;P5PL1;G09;p5_68;neutral;neutral
P5PL1;C04;p5_23;down;neutral;;P5PL1;G10;p5_69;neutral;neutral
P5PL1;C05;p5_24;down;neutral;;P5PL1;G11;p5_70;neutral;neutral
