plate;well;iso_id;mKate;eGFP
P5PL3;E11;p8_15;up;up
P5PL3;H11;p8_24;up;neutral
P8PL1;F02;P8_75;up;neutral
P8PL1;F08;P8_81;up;neutral
P8PL1;H11;p8_104;up;up
P8PL2;B03;p8_116;up;up
P8PL2;B05;p8_118;up;up
P8PL2;C09;p8_132;up;up
P8PL2;D02;p8_135;up;up
P8PL2;D03;p8_136;up;up
P8PL2;D10;p8_143;up;up
P8PL2;D11;p8_144;up;up
P8PL2;E06;p8_149;up;up
P8PL2;E08;p8_151;up;up
P8PL2;F02;p8_155;up;up
P8PL2;G02;p8_165;up;up
P8PL2;G03;p8_166;up;up
P8PL2;H03;p8_176;up;up
P8PL2;H05;p8_178;up;neutral
P8PL3;G03;p8_246;up;up
