[micron],Mean
0.000,4.03906
19.999,4.19521
39.998,4.79467
59.997,8.64988
79.996,7.03378
99.995,5.02526
119.994,4.89101
139.994,4.84269
159.993,4.71265
179.992,4.69969
199.991,4.67097
219.990,4.60880
239.989,4.45358
259.988,4.49303
279.987,4.47865
299.986,4.36182
319.985,4.38091
339.984,4.36802
359.983,4.33685
379.982,4.38961
399.982,4.36533
419.981,4.28063
439.980,4.25780
459.979,4.22400
479.978,4.21491
499.977,4.15243
519.976,4.15524
539.975,4.13145
559.974,4.11173
579.973,4.11282
599.972,4.11336
619.971,4.08611
639.971,4.07841
659.970,4.10002
679.969,4.08841
699.968,4.06980
719.967,4.06720
739.966,4.08057
759.965,4.10667
779.964,4.13321
799.963,4.11127
819.962,4.11028
839.961,4.10590
859.960,4.11560
879.959,4.12481
899.959,4.10890
919.958,4.08794
939.957,4.11166
959.956,4.07478
979.955,4.05762
999.954,4.05308
1019.953,4.05798
1039.952,4.07106
1059.951,4.07509
1079.950,4.06264
1099.949,4.06938
1119.948,4.06438
1139.948,4.04583
1159.947,4.05096
1179.946,4.03968
1199.945,4.05052
1219.944,4.04103
1239.943,4.03856
1259.942,4.04740
1279.941,4.05508
1299.940,4.07059
1319.939,4.04948
1339.938,4.04029
1359.937,4.05311
1379.936,4.04921
1399.936,4.04806
1419.935,4.04801
1439.934,4.04723
1459.933,4.04807
1479.932,4.03648
1499.931,4.03075
1519.930,4.03244
1539.929,4.03406
1559.928,4.03239
1579.927,4.02959
1599.926,4.01619
1619.925,4.01954
1639.924,4.01953
1659.924,4.02374
1679.923,4.01928
1699.922,4.02761
1719.921,4.02292
1739.920,4.02023
1759.919,4.03024
1779.918,4.02018
1799.917,4.02341
1819.916,4.01733
1839.915,4.02015
1859.914,4.02167
1879.913,4.02599
1899.912,4.02813
1919.912,4.02859
1939.911,4.02563
1959.910,4.02545
1979.909,4.02283
1999.908,4.02038
2019.907,4.02038
2039.906,4.02157
2059.905,4.02513
2079.904,4.02371
2099.903,4.01844
2119.902,4.02003
2139.901,4.01548
2159.900,4.01783
2179.900,4.01210
2199.899,4.01971
2219.898,4.01502
2239.897,4.00984
2259.896,4.01364
2279.895,4.01359
2299.894,4.01783
2319.893,4.01168
2339.892,4.00961
2359.891,4.00845
2379.890,4.00885
2399.889,4.01201
2419.888,4.00616
2439.888,4.00617
2459.887,4.00770
2479.886,4.00832
2499.885,4.00643
2519.884,4.00605
2539.883,4.00681
2559.882,4.00668
2579.881,4.00595
2599.880,4.00811
2619.879,4.01065
2639.878,4.01064
2659.877,4.00770
2679.876,4.01002
2699.876,4.00640
2719.875,4.00831
2739.874,4.00920
2759.873,4.00639
2779.872,4.00587
2799.871,4.00678
2819.870,4.00532
2839.869,4.01029
2859.868,4.00795
2879.867,4.00835
2899.866,4.00765
2919.865,4.00766
2939.865,4.00515
2959.864,4.01151
2979.863,4.01102
2999.862,4.00689
3019.861,4.00655
3039.860,4.00515
3059.859,4.00731
3079.858,4.00730
3099.857,4.00539
3119.856,4.00715
3139.855,4.00526
3159.854,4.00370
3179.854,4.00463
3199.853,4.00608
3219.852,4.00546
3239.851,4.00579
3259.850,4.00487
3279.849,4.00506
3299.848,4.00467
3319.847,4.00571
3339.846,4.00370
3359.845,4.00340
3379.844,4.00673
3399.844,4.00527
3419.843,4.00585
3439.842,4.00504
3459.841,4.00782
3479.840,4.00557
3499.839,4.00449
3519.838,4.00354
3539.837,4.00424
3559.836,4.00637
3579.835,4.00790
3599.834,4.00569
3619.833,4.00487
3639.832,4.00685
3659.831,4.00463
3679.831,4.00919
3699.830,4.00377
3719.829,4.00381
3739.828,4.00486
3759.827,4.00438
3779.826,4.00444
3799.825,4.00566
3819.824,4.00464
3839.823,4.00303
3859.822,4.00227
3879.821,4.00295
3899.820,4.00393
3919.819,4.00398
3939.819,4.00709
3959.818,4.00561
3979.817,4.00459
3999.816,4.00509
4019.815,4.00713
4039.814,4.00610
4059.813,4.00909
4079.812,4.00962
4099.811,4.00514
4119.810,4.00684
4139.809,4.01001
4159.809,4.01067
4179.808,4.00790
4199.807,4.00666
4219.806,4.00555
4239.805,4.00567
4259.804,4.00560
4279.803,4.00596
4299.802,4.00447
4319.801,4.00750
4339.800,4.00559
4359.799,4.00680
4379.798,4.00628
4399.797,4.00678
4419.796,4.00585
4439.795,4.00600
4459.794,4.00953
4479.793,4.01523
4499.792,4.01052
4519.792,4.00638
4539.791,4.00204
4559.790,4.00119
4579.789,4.00047
4599.788,4.00035
4619.787,4.00027
