[micron],Mean
0.000,4.23256
19.999,4.34609
39.998,4.73814
59.997,9.37101
79.996,12.39145
99.995,10.36705
119.994,9.93729
139.994,9.73630
159.993,9.15828
179.992,8.66021
199.991,8.36381
219.990,7.80559
239.989,7.59532
259.988,7.26302
279.987,7.15350
299.986,6.83508
319.985,6.52999
339.984,6.37690
359.983,6.34785
379.982,6.22492
399.982,6.11163
419.981,6.11557
439.980,6.05289
459.979,5.94642
479.978,5.88282
499.977,5.87949
519.976,5.71527
539.975,5.48130
559.974,5.31048
579.973,5.09385
599.972,4.91786
619.971,4.85927
639.971,4.85934
659.970,4.80203
679.969,4.74439
699.968,4.65626
719.967,4.57786
739.966,4.49949
759.965,4.42924
779.964,4.39478
799.963,4.37450
819.962,4.35044
839.961,4.33023
859.960,4.33162
879.959,4.31714
899.959,4.30254
919.958,4.30281
939.957,4.29812
959.956,4.28404
979.955,4.27588
999.954,4.26837
1019.953,4.27088
1039.952,4.26033
1059.951,4.26328
1079.950,4.25319
1099.949,4.25743
1119.948,4.25747
1139.948,4.25999
1159.947,4.25622
1179.946,4.25683
1199.945,4.25133
1219.944,4.23879
1239.943,4.24725
1259.942,4.24180
1279.941,4.24781
1299.940,4.24557
1319.939,4.24035
1339.938,4.23378
1359.937,4.23172
1379.936,4.22964
1399.936,4.22423
1419.935,4.21932
1439.934,4.21860
1459.933,4.20993
1479.932,4.20746
1499.931,4.21233
1519.930,4.21346
1539.929,4.20835
1559.928,4.20674
1579.927,4.20878
1599.926,4.19580
1619.925,4.19901
1639.924,4.19263
1659.924,4.18912
1679.923,4.18369
1699.922,4.17928
1719.921,4.17866
1739.920,4.17925
1759.919,4.18279
1779.918,4.17448
1799.917,4.17194
1819.916,4.17245
1839.915,4.16514
1859.914,4.16622
1879.913,4.16109
1899.912,4.16212
1919.912,4.16119
1939.911,4.16336
1959.910,4.15760
1979.909,4.15615
1999.908,4.15602
2019.907,4.15851
2039.906,4.15709
2059.905,4.15527
2079.904,4.15856
2099.903,4.15833
2119.902,4.15458
2139.901,4.15602
2159.900,4.15564
2179.900,4.15208
2199.899,4.15655
2219.898,4.15343
2239.897,4.15649
2259.896,4.14655
2279.895,4.14603
2299.894,4.14661
2319.893,4.14566
2339.892,4.14648
2359.891,4.14544
2379.890,4.14830
2399.889,4.14954
2419.888,4.15133
2439.888,4.14957
2459.887,4.15615
2479.886,4.15268
2499.885,4.15042
2519.884,4.14987
2539.883,4.15282
2559.882,4.15725
2579.881,4.15714
2599.880,4.15562
2619.879,4.15981
2639.878,4.16370
2659.877,4.16512
2679.876,4.16901
2699.876,4.16791
2719.875,4.16292
2739.874,4.15843
2759.873,4.16168
2779.872,4.16201
2799.871,4.16355
2819.870,4.16356
2839.869,4.17008
2859.868,4.16282
2879.867,4.16679
2899.866,4.16455
2919.865,4.16703
2939.865,4.16661
2959.864,4.15820
2979.863,4.16004
2999.862,4.15718
3019.861,4.16352
3039.860,4.16061
3059.859,4.15678
3079.858,4.16408
3099.857,4.15920
3119.856,4.15783
3139.855,4.15372
3159.854,4.15273
3179.854,4.15518
3199.853,4.15361
3219.852,4.15657
3239.851,4.15396
3259.850,4.15512
3279.849,4.15592
3299.848,4.15357
3319.847,4.14880
3339.846,4.14666
3359.845,4.14700
3379.844,4.14687
3399.844,4.14841
3419.843,4.14462
3439.842,4.15008
3459.841,4.14730
3479.840,4.14893
3499.839,4.15174
3519.838,4.14954
3539.837,4.14968
3559.836,4.14994
3579.835,4.15068
3599.834,4.14718
3619.833,4.15062
3639.832,4.15061
3659.831,4.15060
3679.831,4.14638
3699.830,4.15292
3719.829,4.15154
3739.828,4.15006
3759.827,4.15024
3779.826,4.15281
3799.825,4.15287
3819.824,4.15458
3839.823,4.15728
3859.822,4.16032
3879.821,4.16508
3899.820,4.16469
3919.819,4.17333
3939.819,4.16917
3959.818,4.16808
3979.817,4.17401
3999.816,4.18049
4019.815,4.18864
4039.814,4.19271
4059.813,4.19876
4079.812,4.20957
4099.811,4.21275
4119.810,4.23161
4139.809,4.23719
4159.809,4.25142
4179.808,4.27076
4199.807,4.30476
4219.806,4.33443
4239.805,4.39441
4259.804,4.48052
4279.803,4.60838
4299.802,4.78607
4319.801,5.06933
4339.800,5.47523
4359.799,6.08464
4379.798,6.83468
4399.797,7.65445
4419.796,8.56414
4439.795,9.65925
4459.794,11.28713
4479.793,12.79546
4499.792,13.67252
4519.792,10.75005
4539.791,7.09277
4559.790,5.21352
4579.789,4.66821
4599.788,4.46921
4619.787,4.35995
