[micron],Mean
0.000,4.000134
19.999,4.000584
39.998,4.008915
59.997,4.830517
79.996,4.115524
99.995,4.014679
119.994,4.005062
139.994,4.003559
159.993,4.003078
179.992,4.002213
199.991,4.001633
219.990,4.001518
239.989,4.001698
259.988,4.001106
279.987,4.000793
299.986,4.000950
319.985,4.000736
339.984,4.000805
359.983,4.000710
379.982,4.000614
399.982,4.000492
419.981,4.000507
439.980,4.000713
459.979,4.000725
479.978,4.000599
499.977,4.000469
519.976,4.000523
539.975,4.000412
559.974,4.000435
579.973,4.000309
599.972,4.000244
619.971,4.000275
639.971,4.000317
659.970,4.000221
679.969,4.000385
699.968,4.000267
719.967,4.000446
739.966,4.000378
759.965,4.000301
779.964,4.000324
799.963,4.000340
819.962,4.000263
839.961,4.000256
859.960,4.000328
879.959,4.000294
899.959,4.000137
919.958,4.000183
939.957,4.000229
959.956,4.000328
979.955,4.000172
999.954,4.000183
1019.953,4.000130
1039.952,4.000145
1059.951,4.000183
1079.950,4.000137
1099.949,4.000137
1119.948,4.000061
1139.948,4.000126
1159.947,4.000175
1179.946,4.000076
1199.945,4.000111
1219.944,4.000111
1239.943,4.000168
1259.942,4.000202
1279.941,4.000198
1299.940,4.000137
1319.939,4.000217
1339.938,4.000187
1359.937,4.000126
1379.936,4.000134
1399.936,4.000137
1419.935,4.000187
1439.934,4.000187
1459.933,4.000149
1479.932,4.000114
1499.931,4.000103
1519.930,4.000156
1539.929,4.000118
1559.928,4.000107
1579.927,4.000130
1599.926,4.000061
1619.925,4.000038
1639.924,4.000038
1659.924,4.000103
1679.923,4.000038
1699.922,4.000057
1719.921,4.000065
1739.920,4.000050
1759.919,4.000053
1779.918,4.000061
1799.917,4.000069
1819.916,4.000126
1839.915,4.000050
1859.914,4.000072
1879.913,4.000046
1899.912,4.000034
1919.912,4.000053
1939.911,4.000015
1959.910,4.000046
1979.909,4.000011
1999.908,4.000027
2019.907,4.000027
2039.906,4.000031
2059.905,4.000023
2079.904,4.000027
2099.903,4.000027
2119.902,4.000011
2139.901,4.000027
2159.900,4.000034
2179.900,4.000031
2199.899,4.000034
2219.898,4.000038
2239.897,4.000034
2259.896,4.000019
2279.895,4.000027
2299.894,4.000031
2319.893,4.000031
2339.892,4.000069
2359.891,4.000042
2379.890,4.000046
2399.889,4.000057
2419.888,4.000015
2439.888,4.000038
2459.887,4.000061
2479.886,4.000046
2499.885,4.000027
2519.884,4.000053
2539.883,4.000057
2559.882,4.000088
2579.881,4.000114
2599.880,4.000057
2619.879,4.000099
2639.878,4.000057
2659.877,4.000103
2679.876,4.000076
2699.876,4.000088
2719.875,4.000099
2739.874,4.000080
2759.873,4.000107
2779.872,4.000099
2799.871,4.000095
2819.870,4.000122
2839.869,4.000080
2859.868,4.000080
2879.867,4.000042
2899.866,4.000149
2919.865,4.000153
2939.865,4.000061
2959.864,4.000076
2979.863,4.000088
2999.862,4.000099
3019.861,4.000061
3039.860,4.000069
3059.859,4.000050
3079.858,4.000099
3099.857,4.000061
3119.856,4.000141
3139.855,4.000107
3159.854,4.000080
3179.854,4.000107
3199.853,4.000145
3219.852,4.000072
3239.851,4.000027
3259.850,4.000080
3279.849,4.000061
3299.848,4.000050
3319.847,4.000023
3339.846,4.000053
3359.845,4.000050
3379.844,4.000015
3399.844,4.000095
3419.843,4.000061
3439.842,4.000080
3459.841,4.000031
3479.840,4.000050
3499.839,4.000038
3519.838,4.000053
3539.837,4.000084
3559.836,4.000053
3579.835,4.000076
3599.834,4.000034
3619.833,4.000046
3639.832,4.000057
3659.831,4.000065
3679.831,4.000015
3699.830,4.000046
3719.829,4.000031
3739.828,4.000038
3759.827,4.000023
3779.826,4.000050
3799.825,4.000046
3819.824,4.000065
3839.823,4.000072
3859.822,4.000023
3879.821,4.000038
3899.820,4.000065
3919.819,4.000084
3939.819,4.000050
3959.818,4.000069
3979.817,4.000122
3999.816,4.000050
4019.815,4.000046
4039.814,4.000072
4059.813,4.000027
4079.812,4.000084
4099.811,4.000095
4119.810,4.000050
4139.809,4.000080
4159.809,4.000034
4179.808,4.000034
4199.807,4.000076
4219.806,4.000034
4239.805,4.000080
4259.804,4.000046
4279.803,4.000095
4299.802,4.000061
4319.801,4.000103
4339.800,4.000084
4359.799,4.000141
4379.798,4.000057
4399.797,4.000031
4419.796,4.000046
4439.795,4.000042
4459.794,4.000107
4479.793,4.000336
4499.792,4.000622
4519.792,4.000240
4539.791,4.000031
4559.790,4.000027
4579.789,4.000042
4599.788,4.000023
4619.787,4.000023
