[micron],Mean
0.000,5.0842
19.999,6.1666
39.998,11.2726
59.997,83.5714
79.996,30.5895
99.995,13.9450
119.994,9.2872
139.994,7.7314
159.993,7.1011
179.992,6.5391
199.991,6.0472
219.990,5.6428
239.989,5.3844
259.988,5.2078
279.987,5.0717
299.986,4.9915
319.985,4.9128
339.984,4.8989
359.983,4.8628
379.982,4.7829
399.982,4.7327
419.981,4.6969
439.980,4.6845
459.979,4.6728
479.978,4.6460
499.977,4.6393
519.976,4.6675
539.975,4.6464
559.974,4.6331
579.973,4.6329
599.972,4.5890
619.971,4.5905
639.971,4.5790
659.970,4.5685
679.969,4.5638
699.968,4.5299
719.967,4.5396
739.966,4.5375
759.965,4.5065
779.964,4.4966
799.963,4.4979
819.962,4.4666
839.961,4.4644
859.960,4.4646
879.959,4.4431
899.959,4.4400
919.958,4.4323
939.957,4.4125
959.956,4.4098
979.955,4.4062
999.954,4.3915
1019.953,4.3852
1039.952,4.3755
1059.951,4.3732
1079.950,4.3736
1099.949,4.3712
1119.948,4.3721
1139.948,4.3580
1159.947,4.3651
1179.946,4.3508
1199.945,4.3449
1219.944,4.3332
1239.943,4.3356
1259.942,4.3352
1279.941,4.3340
1299.940,4.3263
1319.939,4.3172
1339.938,4.3092
1359.937,4.2997
1379.936,4.3094
1399.936,4.3100
1419.935,4.3036
1439.934,4.2915
1459.933,4.2896
1479.932,4.2915
1499.931,4.2835
1519.930,4.2739
1539.929,4.2620
1559.928,4.2634
1579.927,4.2659
1599.926,4.2571
1619.925,4.2562
1639.924,4.2585
1659.924,4.2595
1679.923,4.2432
1699.922,4.2452
1719.921,4.2454
1739.920,4.2366
1759.919,4.2338
1779.918,4.2287
1799.917,4.2212
1819.916,4.2159
1839.915,4.2124
1859.914,4.2082
1879.913,4.2043
1899.912,4.1985
1919.912,4.1979
1939.911,4.1932
1959.910,4.1940
1979.909,4.1918
1999.908,4.1916
2019.907,4.1829
2039.906,4.1837
2059.905,4.1822
2079.904,4.1856
2099.903,4.1854
2119.902,4.1830
2139.901,4.1836
2159.900,4.1817
2179.900,4.1800
2199.899,4.1769
2219.898,4.1781
2239.897,4.1797
2259.896,4.1759
2279.895,4.1793
2299.894,4.1758
2319.893,4.1731
2339.892,4.1721
2359.891,4.1679
2379.890,4.1649
2399.889,4.1644
2419.888,4.1593
2439.888,4.1589
2459.887,4.1522
2479.886,4.1504
2499.885,4.1543
2519.884,4.1499
2539.883,4.1543
2559.882,4.1522
2579.881,4.1498
2599.880,4.1482
2619.879,4.1472
2639.878,4.1510
2659.877,4.1519
2679.876,4.1470
2699.876,4.1435
2719.875,4.1411
2739.874,4.1453
2759.873,4.1454
2779.872,4.1430
2799.871,4.1376
2819.870,4.1372
2839.869,4.1388
2859.868,4.1399
2879.867,4.1418
2899.866,4.1414
2919.865,4.1391
2939.865,4.1347
2959.864,4.1361
2979.863,4.1307
2999.862,4.1318
3019.861,4.1344
3039.860,4.1371
3059.859,4.1370
3079.858,4.1363
3099.857,4.1311
3119.856,4.1333
3139.855,4.1329
3159.854,4.1292
3179.854,4.1292
3199.853,4.1290
3219.852,4.1307
3239.851,4.1281
3259.850,4.1309
3279.849,4.1309
3299.848,4.1275
3319.847,4.1277
3339.846,4.1298
3359.845,4.1315
3379.844,4.1278
3399.844,4.1307
3419.843,4.1311
3439.842,4.1301
3459.841,4.1265
3479.840,4.1266
3499.839,4.1236
3519.838,4.1227
3539.837,4.1223
3559.836,4.1201
3579.835,4.1200
3599.834,4.1217
3619.833,4.1235
3639.832,4.1225
3659.831,4.1263
3679.831,4.1258
3699.830,4.1272
3719.829,4.1260
3739.828,4.1262
3759.827,4.1284
3779.826,4.1280
3799.825,4.1305
3819.824,4.1308
3839.823,4.1284
3859.822,4.1295
3879.821,4.1292
3899.820,4.1279
3919.819,4.1337
3939.819,4.1344
3959.818,4.1339
3979.817,4.1333
3999.816,4.1343
4019.815,4.1349
4039.814,4.1356
4059.813,4.1359
4079.812,4.1289
4099.811,4.1360
4119.810,4.1369
4139.809,4.1325
4159.809,4.1358
4179.808,4.1339
4199.807,4.1411
4219.806,4.1406
4239.805,4.1382
4259.804,4.1416
4279.803,4.1410
4299.802,4.1472
4319.801,4.1518
4339.800,4.1505
4359.799,4.1538
4379.798,4.1632
4399.797,4.1776
4419.796,4.2076
4439.795,4.2691
4459.794,4.4617
4479.793,4.8177
4499.792,5.4574
4519.792,5.4793
4539.791,4.6005
4559.790,4.1649
4579.789,4.0897
4599.788,4.0669
4619.787,4.0564
