[micron],Mean
0.000,3.7581
19.999,4.0063
39.998,5.5697
59.997,20.8415
79.996,5.0175
99.995,4.1853
119.994,4.0777
139.994,4.0431
159.993,4.0353
179.992,4.0251
199.991,4.0150
219.990,4.0135
239.989,4.0104
259.988,4.0007
279.987,4.0090
299.986,4.0074
319.985,3.9975
339.984,3.9944
359.983,4.0058
379.983,3.9953
399.982,3.9971
419.981,3.9958
439.980,3.9855
459.979,3.9852
479.978,4.0004
499.977,3.9939
519.976,3.9860
539.975,3.9827
559.974,3.9793
579.973,3.9811
599.972,3.9603
619.971,3.9366
639.971,3.9409
659.970,3.9778
679.969,3.9661
699.968,3.9864
719.967,3.9892
739.966,3.9549
759.965,3.9746
779.964,3.9551
799.963,3.9529
819.962,3.9687
839.961,3.9584
859.960,3.9741
879.960,3.9614
899.959,3.9743
919.958,3.9616
939.957,3.9506
959.956,3.9709
979.955,3.9782
999.954,3.9791
1019.953,3.9460
1039.952,3.9371
1059.951,3.8956
1079.950,3.8971
1099.949,3.9062
1119.948,3.9388
1139.948,3.9114
1159.947,3.9252
1179.946,3.9294
1199.945,3.9541
1219.944,3.9399
1239.943,3.9513
1259.942,3.9738
1279.941,3.9850
1299.940,3.9848
1319.939,3.9796
1339.938,3.9438
1359.938,3.9205
1379.937,3.9328
1399.936,3.8818
1419.935,3.8825
1439.934,3.9233
1459.933,3.9787
1479.932,3.9896
1499.931,3.9903
1519.930,3.9560
1539.929,3.9631
1559.928,3.9897
1579.927,3.9476
1599.927,3.9263
1619.926,3.9769
1639.925,3.9941
1659.924,3.9761
1679.923,3.9864
1699.922,3.9961
1719.921,3.9971
1739.920,3.9929
1759.919,3.9695
1779.918,3.9895
1799.917,3.9500
1819.916,3.9714
1839.915,3.9832
1859.915,3.9528
1879.914,3.9891
1899.913,3.9851
1919.912,3.9910
1939.911,3.9793
1959.910,4.0007
1979.909,3.9798
1999.908,3.9978
2019.907,3.9881
2039.906,3.9836
2059.905,3.9866
2079.904,3.9698
2099.904,3.9891
2119.903,3.9972
2139.902,3.9737
2159.901,3.9613
2179.900,3.9884
2199.899,3.9992
2219.898,3.9996
2239.897,4.0016
2259.896,3.9959
2279.895,3.9807
2299.894,3.9562
2319.893,3.9910
2339.892,3.9830
2359.892,3.9770
2379.891,3.9729
2399.890,3.9798
2419.889,3.9990
2439.888,3.9957
2459.887,3.9889
2479.886,3.9807
2499.885,3.9939
2519.884,3.9893
2539.883,3.9786
2559.882,3.9806
2579.881,3.9953
2599.880,3.9624
2619.880,3.9153
2639.879,3.9779
2659.878,3.9932
2679.877,4.0008
2699.876,4.0013
2719.875,4.0002
2739.874,3.9967
2759.873,3.9939
2779.872,4.0015
2799.871,3.9897
2819.870,3.9692
2839.869,3.9981
2859.869,3.9995
2879.868,3.9917
2899.867,3.9963
2919.866,3.9899
2939.865,3.9884
2959.864,3.9994
2979.863,3.9911
2999.862,3.9124
3019.861,3.9352
3039.860,3.9668
3059.859,4.0017
3079.858,3.9999
3099.857,3.9977
3119.857,3.9940
3139.856,3.9969
3159.855,4.0010
3179.854,3.9989
3199.853,3.9990
3219.852,3.9998
3239.851,3.9988
3259.850,3.9866
3279.849,3.9618
3299.848,3.8799
3319.847,3.9879
3339.846,3.9953
3359.845,3.9856
3379.845,3.9833
3399.844,3.9546
3419.843,3.8513
3439.842,3.9177
3459.841,3.9369
3479.840,3.9448
3499.839,3.9572
3519.838,3.9794
3539.837,3.9630
3559.836,3.9514
3579.835,3.9572
3599.834,3.9792
3619.833,3.9544
3639.833,3.9838
3659.832,3.9993
3679.831,3.9869
3699.830,3.9932
3719.829,3.9870
3739.828,3.9884
3759.827,3.9802
3779.826,3.9984
3799.825,4.0005
3819.824,3.9835
3839.823,3.9902
3859.823,3.9934
3879.822,3.9945
3899.821,4.0008
3919.820,3.9991
3939.819,3.9975
3959.818,4.0009
3979.817,4.0012
3999.816,4.0010
4019.815,4.0004
4039.814,4.0009
4059.813,4.0006
4079.812,4.0007
4099.812,4.0009
4119.811,3.9979
4139.810,3.9971
4159.809,3.9970
4179.808,3.9989
4199.807,3.9993
4219.806,3.9998
4239.805,4.0005
4259.804,3.9986
4279.803,3.9909
4299.802,3.9994
4319.801,3.9968
4339.800,3.9995
4359.800,3.9993
4379.799,3.9935
4399.798,3.9987
4419.797,4.0000
4439.796,4.0003
4459.795,4.0003
4479.794,3.9934
4499.793,3.9998
4519.792,3.9990
4539.792,3.9994
4559.791,3.9991
4579.790,3.9939
4599.789,3.9986
4619.788,3.9909
4639.787,3.9966
4659.786,3.9988
4679.785,3.9996
4699.784,4.0000
4719.783,3.9997
4739.782,3.9998
4759.781,3.9999
4779.780,4.0000
4799.779,4.0001
4819.778,4.0001
4839.777,4.0008
4859.776,4.0008
4879.776,4.0001
4899.775,4.0000
4919.774,4.0000
