[micron],Mean
0.000,3.3624
19.999,3.4572
39.998,3.8066
59.997,7.0050
79.996,6.8632
99.995,6.8060
119.994,6.7525
139.994,6.6964
159.993,6.6755
179.992,6.6362
199.991,6.6237
219.990,6.6145
239.989,6.5896
259.988,6.6372
279.987,6.6226
299.986,6.5927
319.985,6.5748
339.984,6.5671
359.983,6.5678
379.983,6.5702
399.982,6.5673
419.981,6.5757
439.980,6.5672
459.979,6.5726
479.978,6.5889
499.977,6.6176
519.976,6.6338
539.975,6.6522
559.974,6.6805
579.973,6.7071
599.972,6.7396
619.971,6.7883
639.971,6.8527
659.970,6.8871
679.969,6.9342
699.968,7.0074
719.967,7.0444
739.966,7.0599
759.965,7.0833
779.964,7.1610
799.963,7.1623
819.962,7.2399
839.961,7.2543
859.960,7.2580
879.960,7.2409
899.959,7.2837
919.958,7.3047
939.957,7.3045
959.956,7.3036
979.955,7.3463
999.954,7.3557
1019.953,7.3626
1039.952,7.3545
1059.951,7.3630
1079.950,7.3720
1099.949,7.3652
1119.948,7.3707
1139.948,7.3745
1159.947,7.3982
1179.946,7.4298
1199.945,7.4368
1219.944,7.4466
1239.943,7.4552
1259.942,7.4786
1279.941,7.4597
1299.940,7.4924
1319.939,7.5023
1339.938,7.5231
1359.938,7.5152
1379.937,7.5097
1399.936,7.5178
1419.935,7.5058
1439.934,7.5297
1459.933,7.5559
1479.932,7.5614
1499.931,7.5679
1519.930,7.5503
1539.929,7.5507
1559.928,7.5276
1579.927,7.5415
1599.927,7.5625
1619.926,7.5564
1639.925,7.5677
1659.924,7.5509
1679.923,7.5604
1699.922,7.5564
1719.921,7.5350
1739.920,7.5381
1759.919,7.5200
1779.918,7.5436
1799.917,7.5326
1819.916,7.5489
1839.915,7.5596
1859.915,7.5770
1879.914,7.5763
1899.913,7.5496
1919.912,7.5473
1939.911,7.5564
1959.910,7.5748
1979.909,7.5751
1999.908,7.5788
2019.907,7.5732
2039.906,7.6024
2059.905,7.6240
2079.904,7.6282
2099.904,7.6765
2119.903,7.7006
2139.902,7.7121
2159.901,7.6978
2179.900,7.7033
2199.899,7.7216
2219.898,7.7235
2239.897,7.7317
2259.896,7.7318
2279.895,7.7711
2299.894,7.8082
2319.893,7.8314
2339.892,7.8519
2359.892,7.8805
2379.891,7.8960
2399.890,7.8813
2419.889,7.9022
2439.888,7.9186
2459.887,7.9212
2479.886,7.9476
2499.885,7.9626
2519.884,7.9795
2539.883,7.9980
2559.882,8.0088
2579.881,8.0513
2599.880,8.0531
2619.880,8.0752
2639.879,8.1305
2659.878,8.1535
2679.877,8.1996
2699.876,8.2106
2719.875,8.2373
2739.874,8.2599
2759.873,8.2951
2779.872,8.3125
2799.871,8.3397
2819.870,8.3542
2839.869,8.3967
2859.869,8.4512
2879.868,8.4571
2899.867,8.4520
2919.866,8.4798
2939.865,8.4761
2959.864,8.5199
2979.863,8.5240
2999.862,8.5585
3019.861,8.5720
3039.860,8.5662
3059.859,8.5781
3079.858,8.6003
3099.857,8.6146
3119.857,8.6046
3139.856,8.6218
3159.855,8.6249
3179.854,8.6341
3199.853,8.6478
3219.852,8.6387
3239.851,8.6503
3259.850,8.6374
3279.849,8.6755
3299.848,8.6953
3319.847,8.7082
3339.846,8.7127
3359.845,8.7363
3379.845,8.7435
3399.844,8.7661
3419.843,8.7453
3439.842,8.7684
3459.841,8.7658
3479.840,8.8074
3499.839,8.8104
3519.838,8.8419
3539.837,8.8498
3559.836,8.8837
3579.835,8.8832
3599.834,8.8965
3619.833,8.9052
3639.833,8.9478
3659.832,8.9619
3679.831,8.9935
3699.830,8.9982
3719.829,9.0450
3739.828,9.0626
3759.827,9.0918
3779.826,9.1389
3799.825,9.2096
3819.824,9.2409
3839.823,9.2894
3859.823,9.3219
3879.822,9.3785
3899.821,9.4714
3919.820,9.5216
3939.819,9.6089
3959.818,9.7095
3979.817,9.7898
3999.816,9.8809
4019.815,10.0228
4039.814,10.2013
4059.813,10.4383
4079.812,10.7398
4099.812,11.2465
4119.811,11.9571
4139.810,12.6715
4159.809,13.1030
4179.808,13.3489
4199.807,13.3989
4219.806,13.4329
4239.805,13.9429
4259.804,14.7017
4279.803,15.4226
4299.802,15.7118
4319.801,15.6046
4339.800,15.2072
4359.800,14.8249
4379.799,14.9001
4399.798,15.5405
4419.797,16.6294
4439.796,18.0099
4459.795,18.8784
4479.794,18.4247
4499.793,17.8109
4519.792,16.9458
4539.792,16.3324
4559.791,16.2395
4579.790,16.0467
4599.789,15.2605
4619.788,14.0976
4639.787,13.2047
4659.786,12.8183
4679.785,12.9369
4699.784,13.3548
4719.783,13.4979
4739.782,13.0847
4759.781,12.5011
4779.780,12.0052
4799.779,11.6291
4819.778,11.6587
4839.777,12.2494
4859.776,12.7926
4879.776,11.8099
4899.775,9.5972
4919.774,8.0047
