[micron],Mean
0.000,4.2163
19.999,4.2541
39.998,4.3820
59.997,5.5512
79.996,8.3591
99.995,8.5443
119.994,8.5725
139.994,8.5627
159.993,8.5586
179.992,8.5421
199.991,8.4807
219.990,8.4898
239.989,8.4854
259.988,8.4705
279.987,8.4434
299.986,8.4164
319.985,8.4244
339.984,8.3939
359.983,8.4173
379.983,8.4059
399.982,8.3808
419.981,8.3556
439.980,8.3650
459.979,8.3484
479.978,8.3658
499.977,8.3660
519.976,8.3414
539.975,8.3484
559.974,8.3848
579.973,8.3771
599.972,8.3945
619.972,8.3800
639.971,8.3965
659.970,8.4044
679.969,8.3783
699.968,8.3840
719.967,8.3856
739.966,8.4066
759.965,8.3972
779.964,8.3836
799.963,8.3785
819.962,8.3984
839.961,8.4094
859.961,8.4214
879.960,8.4478
899.959,8.4295
919.958,8.4437
939.957,8.4583
959.956,8.4810
979.955,8.4544
999.954,8.4643
1019.953,8.4884
1039.952,8.4659
1059.951,8.4860
1079.950,8.5034
1099.950,8.5056
1119.949,8.5035
1139.948,8.5182
1159.947,8.5308
1179.946,8.5230
1199.945,8.5359
1219.944,8.5299
1239.943,8.5422
1259.942,8.5732
1279.941,8.5902
1299.940,8.6203
1319.939,8.6056
1339.938,8.6400
1359.938,8.6749
1379.937,8.6889
1399.936,8.6930
1419.935,8.7415
1439.934,8.7859
1459.933,8.7805
1479.932,8.8277
1499.931,8.8359
1519.930,8.8404
1539.929,8.8483
1559.928,8.8771
1579.927,8.8871
1599.927,8.9083
1619.926,8.9165
1639.925,8.9306
1659.924,8.9330
1679.923,8.9357
1699.922,8.9446
1719.921,8.9408
1739.920,8.9587
1759.919,8.9828
1779.918,8.9905
1799.917,9.0138
1819.917,8.9965
1839.916,8.9971
1859.915,8.9673
1879.914,8.9678
1899.913,9.0018
1919.912,9.0277
1939.911,9.0168
1959.910,8.9955
1979.909,9.0445
1999.908,9.0301
2019.907,9.0255
2039.906,9.0160
2059.906,9.0081
2079.905,9.0207
2099.904,9.0237
2119.903,9.0181
2139.902,9.0221
2159.901,9.0509
2179.900,9.0669
2199.899,9.0813
2219.898,9.0791
2239.897,9.1011
2259.896,9.1193
2279.896,9.1339
2299.895,9.1650
2319.894,9.1671
2339.893,9.1751
2359.892,9.1807
2379.891,9.1954
2399.890,9.2120
2419.889,9.2084
2439.888,9.2308
2459.887,9.2495
2479.886,9.2657
2499.885,9.2994
2519.885,9.3491
2539.884,9.3516
2559.883,9.3514
2579.882,9.3854
2599.881,9.4236
2619.880,9.4384
2639.879,9.4645
2659.878,9.4866
2679.877,9.5017
2699.876,9.5364
2719.875,9.5583
2739.874,9.5715
2759.873,9.6081
2779.873,9.6233
2799.872,9.6603
2819.871,9.6770
2839.870,9.7280
2859.869,9.7772
2879.868,9.7948
2899.867,9.8199
2919.866,9.8272
2939.865,9.8473
2959.864,9.8805
2979.863,9.8967
2999.862,9.9666
3019.862,10.0001
3039.861,10.0512
3059.860,10.0645
3079.859,10.1010
3099.858,10.0996
3119.857,10.1496
3139.856,10.1680
3159.855,10.1790
3179.854,10.2104
3199.853,10.2143
3219.852,10.2489
3239.851,10.2479
3259.850,10.2712
3279.850,10.2859
3299.849,10.2883
3319.848,10.2999
3339.847,10.2972
3359.846,10.2685
3379.845,10.2671
3399.844,10.2571
3419.843,10.2887
3439.842,10.2730
3459.841,10.2629
3479.840,10.2703
3499.839,10.2579
3519.839,10.2439
3539.838,10.2602
3559.837,10.2299
3579.836,10.2385
3599.835,10.2139
3619.834,10.2186
3639.833,10.2095
3659.832,10.2033
3679.831,10.2450
3699.830,10.2559
3719.829,10.2697
3739.828,10.2752
3759.828,10.3126
3779.827,10.3257
3799.826,10.3713
3819.825,10.4168
3839.824,10.4741
3859.823,10.5363
3879.822,10.6105
3899.821,10.6841
3919.820,10.7687
3939.819,10.8512
3959.818,10.9605
3979.817,11.0311
3999.816,11.1029
4019.816,11.2055
4039.815,11.3006
4059.814,11.4149
4079.813,11.5549
4099.812,11.6882
4119.811,11.8525
4139.810,12.0371
4159.809,12.2899
4179.808,12.6714
4199.807,13.1182
4219.807,13.6881
4239.806,14.0016
4259.805,14.1989
4279.804,14.4050
4299.803,14.6872
4319.802,15.3072
4339.801,16.3400
4359.800,17.9613
4379.799,19.9651
4399.798,22.7364
4419.797,25.9394
4439.796,29.0239
4459.795,31.9463
4479.794,33.7871
4499.793,33.2830
4519.792,32.1816
4539.792,30.1622
4559.791,28.0184
4579.790,26.1140
4599.789,24.7278
4619.788,23.3973
4639.787,21.4762
4659.786,19.0890
4679.785,16.8763
4699.784,15.2446
4719.784,14.2845
4739.783,13.6981
4759.782,13.2918
4779.781,12.8238
4799.780,11.5009
4819.779,10.3600
4839.778,10.0450
4859.777,9.4096
4879.776,8.2179
4899.775,7.3383
