 ,Label,Area,Mean,StdDev,IntDen,RawIntDen
1,0.1xlbgm_bscapeferrum_bs-02.czi:0001-0740:c:1/3 - 0.1xlbgm_bscapeferrum_bs-02.czi #1,52769513.134,4268.089,701.324,225224973355.540,1052263174.000
2,0.1xlbgm_bscapeferrum_bs-02.czi:0001-0740:c:2/3 - 0.1xlbgm_bscapeferrum_bs-02.czi #1,52769513.134,2018.538,118.445,106517278719.350,497654448.000
3,0.1xlbgm_bscapeferrum_bs-03.czi:0001-0735:c:1/3 - 0.1xlbgm_bscapeferrum_bs-03.czi #1,56793653.510,4263.852,711.160,242159733481.824,1131383283.000
4,0.1xlbgm_bscapeferrum_bs-03.czi:0001-0735:c:2/3 - 0.1xlbgm_bscapeferrum_bs-03.czi #1,56793653.510,2057.180,124.788,116834761975.430,545858284.000
5,0.1xlbgm_bscapeferrum_bs.czi:0001-0734:c:1/3 - 0.1xlbgm_bscapeferrum_bs.czi #1,55910102.025,4491.244,742.481,251105884046.193,1173180179.000
6,0.1xlbgm_bscapeferrum_bs.czi:0001-0734:c:2/3 - 0.1xlbgm_bscapeferrum_bs.czi #1,55910102.025,2240.072,132.624,125242633197.959,585140310.000
7,0.1xlbgm_bscapeferrum_co-02.czi:0001-0720:c:1/3 - 0.1xlbgm_bscapeferrum_co-02.czi #1,46762946.922,3929.722,582.451,183765371065.064,858561685.000
8,0.1xlbgm_bscapeferrum_co-02.czi:0001-0720:c:2/3 - 0.1xlbgm_bscapeferrum_co-02.czi #1,46762946.922,1958.008,123.187,91562243048.224,427783718.000
9,0.1xlbgm_bscapeferrum_co-03.czi:0001-0634:c:1/3 - 0.1xlbgm_bscapeferrum_co-03.czi #1,58732415.465,3966.158,615.662,232942055859.602,1088317798.000
10,0.1xlbgm_bscapeferrum_co-03.czi:0001-0634:c:2/3 - 0.1xlbgm_bscapeferrum_co-03.czi #1,58732415.465,2048.289,156.006,120300965914.814,562052575.000
11,0.1xlbgm_bscapeferrum_co.czi:0001-0739:c:1/3 - 0.1xlbgm_bscapeferrum_co.czi #1,52044136.200,4036.798,610.368,210091666617.686,981559552.000
12,0.1xlbgm_bscapeferrum_co.czi:0001-0739:c:2/3 - 0.1xlbgm_bscapeferrum_co.czi #1,52044136.200,2001.084,128.026,104144708823.825,486569674.000
13,0.1xlbgm_bskoreensis_bs-02.czi:0001-0734:c:1/3 - 0.1xlbgm_bskoreensis_bs-02.czi #1,67455560.032,3994.346,1025.172,269440832696.796,1258842044.000
14,0.1xlbgm_bskoreensis_bs-02.czi:0001-0734:c:2/3 - 0.1xlbgm_bskoreensis_bs-02.czi #1,67455560.032,2190.425,164.506,147756328965.191,690325506.000
15,0.1xlbgm_bskoreensis_bs-03.czi:0001-0724:c:1/3 - 0.1xlbgm_bskoreensis_bs-03.czi #1,56957179.027,4024.757,1049.487,229238814405.882,1071016055.000
16,0.1xlbgm_bskoreensis_bs-03.czi:0001-0724:c:2/3 - 0.1xlbgm_bskoreensis_bs-03.czi #1,56957179.027,2198.299,157.677,125208925965.652,584982828.000
17,0.1xlbgm_bskoreensis_bs.czi:0001-0733:c:1/3 - 0.1xlbgm_bskoreensis_bs.czi #1,57207176.152,3471.235,627.845,198579551763.235,927774333.000
18,0.1xlbgm_bskoreensis_bs.czi:0001-0733:c:2/3 - 0.1xlbgm_bskoreensis_bs.czi #1,57207176.152,1899.933,145.752,108689777713.179,507804480.000
