 ,Label,Area,Mean,StdDev,IntDen,Median,RawIntDen
1,type_strains_0.1xlbgm_pellicle_bs-02:c:1/3 - bs-02.czi #1,93813347.731,738.716,243.499,69301417875.271,704,323779947
2,type_strains_0.1xlbgm_pellicle_bs-02:c:2/3 - bs-02.czi #1,93813347.731,786.374,163.635,73772371606.506,781,344668483
3,type_strains_0.1xlbgm_pellicle_bs-03:c:1/3 - bs-03.czi #1,93813347.731,766.605,271.426,71917802176.392,772,336003835
4,type_strains_0.1xlbgm_pellicle_bs-03:c:2/3 - bs-03.czi #1,93813347.731,761.031,172.515,71394821460.023,762,333560441
5,type_strains_0.1xlbgm_pellicle_bs-04:c:1/3 - bs-04.czi #1,93813347.731,761.900,370.321,71476398861.110,676,333941575
6,type_strains_0.1xlbgm_pellicle_bs-04:c:2/3 - bs-04.czi #1,93813347.731,792.780,240.977,74373340938.170,761,347476244
7,type_strains_0.1xlbgm_pellicle_bs-05:c:1/3 - bs-05.czi #1,93813347.731,806.864,312.113,75694652586.859,867,353649483
8,type_strains_0.1xlbgm_pellicle_bs-05:c:2/3 - bs-05.czi #1,93813347.731,757.906,177.828,71101734504.511,787,332191123
9,type_strains_0.1xlbgm_pellicle_bs-06:c:1/3 - bs-06.czi #1,93813347.731,955.776,410.998,89664566237.034,943,418917670
10,type_strains_0.1xlbgm_pellicle_bs-06:c:2/3 - bs-06.czi #1,93813347.731,881.713,244.611,82716419241.286,876,386455554
11,type_strains_0.1xlbgm_pellicle_bs:c:1/3 - bs.czi #1,93813347.731,687.657,211.489,64511391614.011,686,301400687
12,type_strains_0.1xlbgm_pellicle_bs:c:2/3 - bs.czi #1,93813347.731,703.498,128.150,65997482618.114,702,308343784
13,type_strains_0.1xlbgm_pellicle_bscapeferrum-02:c:1/3 - bscapeferrum-02.czi #1,93813347.731,449.218,111.641,42142655224.599,433,196892749
14,type_strains_0.1xlbgm_pellicle_bscapeferrum-02:c:2/3 - bscapeferrum-02.czi #1,93813347.731,999.500,112.990,93766439237.539,987,438081841
15,type_strains_0.1xlbgm_pellicle_bscapeferrum-03:c:1/3 - bscapeferrum-03.czi #1,93813347.731,475.665,101.389,44623766680.363,457,208484635
16,type_strains_0.1xlbgm_pellicle_bscapeferrum-03:c:2/3 - bscapeferrum-03.czi #1,93813347.731,1001.646,108.298,93967722025.987,992,439022245
17,type_strains_0.1xlbgm_pellicle_bscapeferrum-04:c:1/3 - bscapeferrum-04.czi #1,93813347.731,452.264,125.555,42428430834.380,441,198227908
18,type_strains_0.1xlbgm_pellicle_bscapeferrum-04:c:2/3 - bscapeferrum-04.czi #1,93813347.731,1003.722,115.977,94162491618.773,996,439932219
19,type_strains_0.1xlbgm_pellicle_bscapeferrum-05:c:1/3 - bscapeferrum-05.czi #1,93813347.731,472.353,102.618,44313025818.242,444,207032837
20,type_strains_0.1xlbgm_pellicle_bscapeferrum-05:c:2/3 - bscapeferrum-05.czi #1,93813347.731,990.158,102.787,92890052909.870,976,433987317
21,type_strains_0.1xlbgm_pellicle_bscapeferrum-06:c:1/3 - bscapeferrum-06.czi #1,93813347.731,447.586,114.584,41989539476.518,429,196177384
22,type_strains_0.1xlbgm_pellicle_bscapeferrum-06:c:2/3 - bscapeferrum-06.czi #1,93813347.731,951.720,99.883,89284034653.374,942,417139806
23,type_strains_0.1xlbgm_pellicle_bscapeferrum:c:1/3 - bscapeferrum.czi #1,93813347.731,466.322,96.313,43747186219.652,455,204389204
24,type_strains_0.1xlbgm_pellicle_bscapeferrum:c:2/3 - bscapeferrum.czi #1,93813347.731,1032.793,107.256,96889796733.599,1024,452674335
25,type_strains_0.1xlbgm_pellicle_bskoreensis-02:c:1/3 - bskoreensis-02.czi #1,93813347.731,461.485,114.000,43293424527.628,433,202269205
26,type_strains_0.1xlbgm_pellicle_bskoreensis-02:c:2/3 - bskoreensis-02.czi #1,93813347.731,730.276,80.804,68509629461.905,716,320080669
27,type_strains_0.1xlbgm_pellicle_bskoreensis-03:c:1/3 - bskoreensis-03.czi #1,93813347.731,502.203,122.260,47113310402.190,460,220115917
28,type_strains_0.1xlbgm_pellicle_bskoreensis-03:c:2/3 - bskoreensis-03.czi #1,93813347.731,762.191,87.471,71503688573.026,743,334069074
29,type_strains_0.1xlbgm_pellicle_bskoreensis-04:c:1/3 - bskoreensis-04.czi #1,93813347.731,446.948,112.294,41929674582.636,418,195897692
30,type_strains_0.1xlbgm_pellicle_bskoreensis-04:c:2/3 - bskoreensis-04.czi #1,93813347.731,727.566,78.604,68255422838.468,710,318893002
31,type_strains_0.1xlbgm_pellicle_bskoreensis-05:c:1/3 - bskoreensis-05.czi #1,93813347.731,542.468,144.566,50890706825.214,491,237764116
