sample;1;2;3;4;5;6;7;8
A;lbgm;lbgm;bs_sn;bs_sn;blk;blk;blk;blk
B;186_sn;186_sn;192_sn;192_sn;193_sn;193_sn;255_sn;255_sn
C;277_sn;277_sn;279_sn;279_sn;2_sn;2_sn;16_sn;16_sn
D;32_sn;32_sn;35_sn;35_sn;40_sn;40_sn;44_sn;44_sn
E;45_sn;45_sn;51_sn;51_sn;57_sn;57_sn;58_sn;58_sn
F;62_sn;62_sn;63_sn;63_sn;87_sn;87_sn;191_sn;191_sn
;;;;;;;;
;;;;;;;;
;;;;;;;;
medium;1;2;3;4;5;6;7;8
A;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
B;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
C;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
D;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
E;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
F;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
;;;;;;;;
;;;;;;;;
;;;;;;;;
iso_site;1;2;3;4;5;6;7;8
A;none;none;none;none;none;none;none;none
B;P8;P8;P8;P8;P8;P8;P8;P8
C;P8;P8;P8;P8;P9;P9;P9;P9
D;P9;P9;P9;P9;P9;P9;P9;P9
E;P9;P9;P9;P9;P9;P9;P9;P9
F;P9;P9;P9;P9;P9;P9;P9;P9
