sample;1;2;3;4;5;6;7;8
A;lbgm;lbgm;bs_sn;bs_sn;blk;blk;blk;blk
B;13_sn;13_sn;34_sn;34_sn;47_sn;47_sn;109_sn;109_sn
C;152_sn;152_sn;72_sn;72_sn;78_sn;78_sn;81_sn;81_sn
D;111_sn;111_sn;128_sn;128_sn;139_sn;139_sn;151_sn;151_sn
E;161_sn;161_sn;178_sn;178_sn;229_sn;229_sn;239_sn;239_sn
F;241_sn;241_sn;249_sn;249_sn;250_sn;250_sn;31_sn;31_sn
;;;;;;;;
;;;;;;;;
;;;;;;;;
medium;1;2;3;4;5;6;7;8
A;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
B;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
C;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
D;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
E;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
F;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
;;;;;;;;
;;;;;;;;
;;;;;;;;
iso_site;1;2;3;4;5;6;7;8
A;none;none;none;none;none;none;none;none
B;P5;P5;P5;P5;P5;P5;P5;P5
C;P5;P5;P8;P8;P8;P8;P8;P8
D;P8;P8;P8;P8;P8;P8;P8;P8
E;P8;P8;P8;P8;P8;P8;P8;P8
F;P8;P8;P8;P8;P8;P8;P9;P9
