well;sample;iso_id;species;culture;medium;temp;time;plate
A1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL1
A2;546;p8_264;;dual;0.1x LBGM;30;24;P9PL1
A3;547;p8_265;;dual;0.1x LBGM;30;24;P9PL1
A4;548;p9_1;;dual;0.1x LBGM;30;24;P9PL1
A5;549;p9_2;;dual;0.1x LBGM;30;24;P9PL1
A6;550;p9_3;;dual;0.1x LBGM;30;24;P9PL1
A7;551;p9_4;;dual;0.1x LBGM;30;24;P9PL1
A8;552;p9_5;;dual;0.1x LBGM;30;24;P9PL1
A9;553;p9_6;;dual;0.1x LBGM;30;24;P9PL1
A10;554;p9_7;;dual;0.1x LBGM;30;24;P9PL1
A11;555;p9_8;;dual;0.1x LBGM;30;24;P9PL1
A12;blk;blk;;blk;0.1x LBGM;30;24;P9PL1
B1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL1
B2;556;p8_266;;dual;0.1x LBGM;30;24;P9PL1
B3;557;p8_267;;dual;0.1x LBGM;30;24;P9PL1
B4;558;p9_9;;dual;0.1x LBGM;30;24;P9PL1
B5;559;p9_10;;dual;0.1x LBGM;30;24;P9PL1
B6;560;p9_11;;dual;0.1x LBGM;30;24;P9PL1
B7;561;p9_12;;dual;0.1x LBGM;30;24;P9PL1
B8;562;p9_13;;dual;0.1x LBGM;30;24;P9PL1
B9;563;p9_14;;dual;0.1x LBGM;30;24;P9PL1
B10;564;p9_15;;dual;0.1x LBGM;30;24;P9PL1
B11;565;p9_16;;dual;0.1x LBGM;30;24;P9PL1
B12;blk;blk;;blk;0.1x LBGM;30;24;P9PL1
C1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL1
C2;566;p8_268;;dual;0.1x LBGM;30;24;P9PL1
C3;567;p8_269;;dual;0.1x LBGM;30;24;P9PL1
C4;568;p9_17;;dual;0.1x LBGM;30;24;P9PL1
C5;569;p9_18;;dual;0.1x LBGM;30;24;P9PL1
C6;570;p9_19;;dual;0.1x LBGM;30;24;P9PL1
C7;571;p9_20;;dual;0.1x LBGM;30;24;P9PL1
C8;572;p9_21;;dual;0.1x LBGM;30;24;P9PL1
C9;573;p9_22;;dual;0.1x LBGM;30;24;P9PL1
C10;574;p9_23;;dual;0.1x LBGM;30;24;P9PL1
C11;575;p9_24;;dual;0.1x LBGM;30;24;P9PL1
C12;blk;blk;;blk;0.1x LBGM;30;24;P9PL1
D1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL1
D2;576;p8_270;;dual;0.1x LBGM;30;24;P9PL1
D3;577;p8_271;;dual;0.1x LBGM;30;24;P9PL1
D4;578;p9_25;;dual;0.1x LBGM;30;24;P9PL1
D5;579;p9_26;;dual;0.1x LBGM;30;24;P9PL1
D6;580;p9_27;;dual;0.1x LBGM;30;24;P9PL1
D7;581;p9_28;;dual;0.1x LBGM;30;24;P9PL1
D8;582;p9_29;;dual;0.1x LBGM;30;24;P9PL1
D9;583;p9_30;;dual;0.1x LBGM;30;24;P9PL1
D10;584;p9_31;;dual;0.1x LBGM;30;24;P9PL1
D11;585;p9_32;;dual;0.1x LBGM;30;24;P9PL1
D12;blk;blk;;blk;0.1x LBGM;30;24;P9PL1
E1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL1
E2;586;p8_272;;dual;0.1x LBGM;30;24;P9PL1
E3;587;p8_273;;dual;0.1x LBGM;30;24;P9PL1
E4;588;p9_33;;dual;0.1x LBGM;30;24;P9PL1
E5;589;p9_34;;dual;0.1x LBGM;30;24;P9PL1
E6;590;p9_35;;dual;0.1x LBGM;30;24;P9PL1
E7;591;p9_36;;dual;0.1x LBGM;30;24;P9PL1
E8;592;p9_37;;dual;0.1x LBGM;30;24;P9PL1
E9;593;p9_38;;dual;0.1x LBGM;30;24;P9PL1
E10;594;p9_39;;dual;0.1x LBGM;30;24;P9PL1
E11;595;p9_40;;dual;0.1x LBGM;30;24;P9PL1
E12;blk;blk;;blk;0.1x LBGM;30;24;P9PL1
F1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL1
F2;596;p8_274;;dual;0.1x LBGM;30;24;P9PL1
F3;597;p9_275;;dual;0.1x LBGM;30;24;P9PL1
F4;598;p9_41;;dual;0.1x LBGM;30;24;P9PL1
F5;599;p9_42;;dual;0.1x LBGM;30;24;P9PL1
F6;600;p9_43;;dual;0.1x LBGM;30;24;P9PL1
F7;601;p9_44;;dual;0.1x LBGM;30;24;P9PL1
F8;602;p9_45;;dual;0.1x LBGM;30;24;P9PL1
F9;603;p9_46;;dual;0.1x LBGM;30;24;P9PL1
F10;604;p9_47;;dual;0.1x LBGM;30;24;P9PL1
F11;605;p9_48;;dual;0.1x LBGM;30;24;P9PL1
F12;blk;blk;;blk;0.1x LBGM;30;24;P9PL1
G1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL1
G2;606;p8_276;;dual;0.1x LBGM;30;24;P9PL1
G3;607;p8_277;;dual;0.1x LBGM;30;24;P9PL1
G4;608;p9_49;;dual;0.1x LBGM;30;24;P9PL1
G5;609;p9_50;;dual;0.1x LBGM;30;24;P9PL1
G6;610;p9_51;;dual;0.1x LBGM;30;24;P9PL1
G7;611;p9_52;;dual;0.1x LBGM;30;24;P9PL1
G8;612;p9_53;;dual;0.1x LBGM;30;24;P9PL1
G9;613;p9_54;;dual;0.1x LBGM;30;24;P9PL1
G10;614;p9_55;;dual;0.1x LBGM;30;24;P9PL1
G11;615;p9_56;;dual;0.1x LBGM;30;24;P9PL1
G12;blk;blk;;blk;0.1x LBGM;30;24;P9PL1
H1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL1
H2;616;p8_278;;dual;0.1x LBGM;30;24;P9PL1
H3;617;p8_279;;dual;0.1x LBGM;30;24;P9PL1
H4;618;p9_57;;dual;0.1x LBGM;30;24;P9PL1
H5;619;p9_58;;dual;0.1x LBGM;30;24;P9PL1
H6;620;p9_59;;dual;0.1x LBGM;30;24;P9PL1
H7;621;p9_60;;dual;0.1x LBGM;30;24;P9PL1
H8;622;p9_61;;dual;0.1x LBGM;30;24;P9PL1
H9;623;p9_62;;dual;0.1x LBGM;30;24;P9PL1
H10;624;p9_63;;dual;0.1x LBGM;30;24;P9PL1
H11;625;p9_64;;dual;0.1x LBGM;30;24;P9PL1
H12;blk;blk;;blk;0.1x LBGM;30;24;P9PL1
