well;sample;iso_id;species;culture;medium;temp;time;plate
A1;Bs;Bs;;mono;TSB;30;24;P8PL2
A2;308;p8_105;;dual;TSB;30;24;P8PL2
A3;309;p8_106;;dual;TSB;30;24;P8PL2
A4;310;p8_107;;dual;TSB;30;24;P8PL2
A5;311;p8_108;;dual;TSB;30;24;P8PL2
A6;312;p8_109;;dual;TSB;30;24;P8PL2
A7;313;p8_110;;dual;TSB;30;24;P8PL2
A8;314;p8_111;;dual;TSB;30;24;P8PL2
A9;315;p8_112;;dual;TSB;30;24;P8PL2
A10;316;p8_113;;dual;TSB;30;24;P8PL2
A11;317;p8_114;;dual;TSB;30;24;P8PL2
A12;blk;blk;;blk;TSB;30;24;P8PL2
B1;Bs;Bs;;mono;TSB;30;24;P8PL2
B2;318;p8_115;;dual;TSB;30;24;P8PL2
B3;319;p8_116;;dual;TSB;30;24;P8PL2
B4;320;p8_117;;dual;TSB;30;24;P8PL2
B5;321;p8_118;;dual;TSB;30;24;P8PL2
B6;322;p8_119;;dual;TSB;30;24;P8PL2
B7;323;p8_120;;dual;TSB;30;24;P8PL2
B8;324;p8_121;;dual;TSB;30;24;P8PL2
B9;325;p8_122;;dual;TSB;30;24;P8PL2
B10;326;p8_123;;dual;TSB;30;24;P8PL2
B11;327;p8_124;;dual;TSB;30;24;P8PL2
B12;blk;blk;;blk;TSB;30;24;P8PL2
C1;Bs;Bs;;mono;TSB;30;24;P8PL2
C2;328;p8_125;;dual;TSB;30;24;P8PL2
C3;329;p8_126;;dual;TSB;30;24;P8PL2
C4;330;p8_127;;dual;TSB;30;24;P8PL2
C5;331;p8_128;;dual;TSB;30;24;P8PL2
C6;332;p8_129;;dual;TSB;30;24;P8PL2
C7;333;p8_130;;dual;TSB;30;24;P8PL2
C8;334;p8_131;;dual;TSB;30;24;P8PL2
C9;335;p8_132;;dual;TSB;30;24;P8PL2
C10;336;p8_133;;dual;TSB;30;24;P8PL2
C11;337;p8_134;;dual;TSB;30;24;P8PL2
C12;blk;blk;;blk;TSB;30;24;P8PL2
D1;Bs;Bs;;mono;TSB;30;24;P8PL2
D2;338;p8_135;;dual;TSB;30;24;P8PL2
D3;339;p8_136;;dual;TSB;30;24;P8PL2
D4;340;p8_137;;dual;TSB;30;24;P8PL2
D5;341;p8_138;;dual;TSB;30;24;P8PL2
D6;342;p8_139;;dual;TSB;30;24;P8PL2
D7;343;p8_140;;dual;TSB;30;24;P8PL2
D8;344;p8_141;;dual;TSB;30;24;P8PL2
D9;345;p8_142;;dual;TSB;30;24;P8PL2
D10;346;p8_143;;dual;TSB;30;24;P8PL2
D11;347;p8_144;;dual;TSB;30;24;P8PL2
D12;blk;blk;;blk;TSB;30;24;P8PL2
E1;Bs;Bs;;mono;TSB;30;24;P8PL2
E2;348;p8_145;;dual;TSB;30;24;P8PL2
E3;349;p8_146;;dual;TSB;30;24;P8PL2
E4;350;p8_147;;dual;TSB;30;24;P8PL2
E5;351;p8_148;;dual;TSB;30;24;P8PL2
E6;352;p8_149;;dual;TSB;30;24;P8PL2
E7;353;p8_150;;dual;TSB;30;24;P8PL2
E8;354;p8_151;;dual;TSB;30;24;P8PL2
E9;355;p8_152;;dual;TSB;30;24;P8PL2
E10;356;p8_153;;dual;TSB;30;24;P8PL2
E11;357;p8_154;;dual;TSB;30;24;P8PL2
E12;blk;blk;;blk;TSB;30;24;P8PL2
F1;Bs;Bs;;mono;TSB;30;24;P8PL2
F2;358;p8_155;;dual;TSB;30;24;P8PL2
F3;359;p8_156;;dual;TSB;30;24;P8PL2
F4;360;p8_157;;dual;TSB;30;24;P8PL2
F5;361;p8_158;;dual;TSB;30;24;P8PL2
F6;362;p8_159;;dual;TSB;30;24;P8PL2
F7;363;p8_160;;dual;TSB;30;24;P8PL2
F8;364;p8_161;;dual;TSB;30;24;P8PL2
F9;365;p8_162;;dual;TSB;30;24;P8PL2
F10;366;p8_163;;dual;TSB;30;24;P8PL2
F11;367;p8_164;;dual;TSB;30;24;P8PL2
F12;blk;blk;;blk;TSB;30;24;P8PL2
G1;Bs;Bs;;mono;TSB;30;24;P8PL2
G2;368;p8_165;;dual;TSB;30;24;P8PL2
G3;369;p8_166;;dual;TSB;30;24;P8PL2
G4;370;p8_167;;dual;TSB;30;24;P8PL2
G5;371;p8_168;;dual;TSB;30;24;P8PL2
G6;372;p8_169;;dual;TSB;30;24;P8PL2
G7;373;p8_170;;dual;TSB;30;24;P8PL2
G8;374;p8_171;;dual;TSB;30;24;P8PL2
G9;375;p8_172;;dual;TSB;30;24;P8PL2
G10;376;p8_173;;dual;TSB;30;24;P8PL2
G11;377;p8_174;;dual;TSB;30;24;P8PL2
G12;blk;blk;;blk;TSB;30;24;P8PL2
H1;Bs;Bs;;mono;TSB;30;24;P8PL2
H2;378;p8_175;;dual;TSB;30;24;P8PL2
H3;379;p8_176;;dual;TSB;30;24;P8PL2
H4;380;p8_177;;dual;TSB;30;24;P8PL2
H5;381;p8_178;;dual;TSB;30;24;P8PL2
H6;382;p8_179;;dual;TSB;30;24;P8PL2
H7;383;p8_180;;dual;TSB;30;24;P8PL2
H8;384;p8_181;;dual;TSB;30;24;P8PL2
H9;385;p8_182;;dual;TSB;30;24;P8PL2
H10;386;p8_183;;dual;TSB;30;24;P8PL2
H11;387;p8_184;;dual;TSB;30;24;P8PL2
H12;blk;blk;;blk;TSB;30;24;P8PL2
