bc;reporter;scr_cat;rep
bc01;gfp;up;1
bc02;gfp;up;2
bc03;gfp;up;3
bc04;gfp;up;4
bc05;gfp;down;1
bc06;gfp;down;2
bc07;gfp;down;3
bc08;gfp;down;4
bc09;gfp;neutral;1
bc10;gfp;neutral;2
bc11;gfp;neutral;3
bc12;gfp;neutral;4
bc13;mkate;up;1
bc14;mkate;up;2
bc15;mkate;up;3
bc16;mkate;up;4
bc17;mkate;down;1
bc18;mkate;down;2
bc19;mkate;down;3
bc20;mkate;down;4
bc21;mkate;neutral;1
bc22;mkate;neutral;2
bc23;mkate;neutral;3
bc24;mkate;neutral;4
bc25;none;control_pos;1
bc26;none;control_pos;2
bc27;none;control_pos;3
bc28;none;control_pos;4
bc29;none;control_neg;1
bc30;none;control_neg;2
bc31;none;none;1
