sample;1;2;3;4;5;6;7;8
A;bs;bs;bs;bs;bs;bs;bs;bs
B;2;2;2;2;2;2;2;2
C;241;241;241;241;241;241;241;241
D;2;2;2;2;2;2;2;2
E;241;241;241;241;241;241;241;241
F;blk;blk;blk;blk;blk;blk;blk;blk
;;;;;;;;
;;;;;;;;
reporter;1;2;3;4;5;6;7;8
A;eps;eps;eps;eps;tapa;tapa;tapa;tapa
B;eps;eps;eps;eps;tapa;tapa;tapa;tapa
C;eps;eps;eps;eps;tapa;tapa;tapa;tapa
D;eps;eps;eps;eps;tapa;tapa;tapa;tapa
E;eps;eps;eps;eps;tapa;tapa;tapa;tapa
F;blk;blk;blk;blk;blk;blk;blk;blk
;;;;;;;;
;;;;;;;;
iso_site;1;2;3;4;5;6;7;8
A;none;none;none;none;none;none;none;none
B;P9;P9;P9;P9;P9;P9;P9;P9
C;P8;P8;P8;P8;P8;P8;P8;P8
D;P9;P9;P9;P9;P9;P9;P9;P9
E;P8;P8;P8;P8;P8;P8;P8;P8
F;none;none;none;none;none;none;none;none
;;;;;;;;
;;;;;;;;
type;1;2;3;4;5;6;7;8
A;mono;mono;mono;mono;mono;mono;mono;mono
B;mono;mono;mono;mono;mono;mono;mono;mono
C;mono;mono;mono;mono;mono;mono;mono;mono
D;co;co;co;co;co;co;co;co
E;co;co;co;co;co;co;co;co
F;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
medium;1;2;3;4;5;6;7;8
A;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
B;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
C;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
D;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
E;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
F;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
