sample;1;2;3;4;5;6;7;8
A;bs;bs;bs;bs;blk;blk;blk;blk
B;186;186;192;192;193;193;255;255
C;277;277;279;279;2;2;16;16
D;32;32;35;35;40;40;44;44
E;45;45;51;51;57;57;58;58
F;62;62;63;63;87;87;191;191
;;;;;;;;
;;;;;;;;
;;;;;;;;
medium;1;2;3;4;5;6;7;8
A;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
B;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
C;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
D;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
E;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
F;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
;;;;;;;;
;;;;;;;;
;;;;;;;;
iso_site;1;2;3;4;5;6;7;8
A;none;none;none;none;none;none;none;none
B;P8;P8;P8;P8;P8;P8;P8;P8
C;P8;P8;P8;P8;P9;P9;P9;P9
D;P9;P9;P9;P9;P9;P9;P9;P9
E;P9;P9;P9;P9;P9;P9;P9;P9
F;P9;P9;P9;P9;P9;P9;P9;P9
;;;;;;;;
;;;;;;;;
;;;;;;;;
type;1;2;3;4;5;6;7;8
A;mono;mono;mono;mono;;;;
B;co;mono;co;mono;co;mono;co;mono
C;co;mono;co;mono;co;mono;co;mono
D;co;mono;co;mono;co;mono;co;mono
E;co;mono;co;mono;co;mono;co;mono
F;co;mono;co;mono;co;mono;co;mono
