sample;1;2;3;4;5;6;7;8
A;bs;bs;bs;bs;blk;blk;blk;blk
B;13;13;34;34;47;47;109;109
C;152;152;72;72;78;78;81;81
D;111;111;128;128;139;139;151;151
E;161;161;178;178;229;229;239;239
F;241;241;249;249;250;250;31;31
;;;;;;;;
;;;;;;;;
;;;;;;;;
medium;1;2;3;4;5;6;7;8
A;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
B;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
C;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
D;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
E;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
F;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
;;;;;;;;
;;;;;;;;
;;;;;;;;
iso_site;1;2;3;4;5;6;7;8
A;none;none;none;none;none;none;none;none
B;P5;P5;P5;P5;P5;P5;P5;P5
C;P5;P5;P8;P8;P8;P8;P8;P8
D;P8;P8;P8;P8;P8;P8;P8;P8
E;P8;P8;P8;P8;P8;P8;P8;P8
F;P8;P8;P8;P8;P8;P8;P9;P9
;;;;;;;;
;;;;;;;;
;;;;;;;;
type;1;2;3;4;5;6;7;8
A;mono;mono;mono;mono;;;;
B;co;mono;co;mono;co;mono;co;mono
C;co;mono;co;mono;co;mono;co;mono
D;co;mono;co;mono;co;mono;co;mono
E;co;mono;co;mono;co;mono;co;mono
F;co;mono;co;mono;co;mono;co;mono
